Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
4311980,Lady Rose's Daughter,Mrs. Humphry Ward,"Ward, Mrs. Humphry",,"=""1408682753""","=""9781408682753""",0,3.57,Mellon Pr,Paperback,528,2008,1903,,2023/12/29,to-read,to-read (#4389),to-read,,,,0,0
33915586,"The Four Tendencies: The Indispensable Personality Profiles That Reveal How to Make Your Life Better (and Other People's Lives Better, Too)",Gretchen Rubin,"Rubin, Gretchen",,"=""1524760927""","=""9781524760922""",0,3.83,Harmony,Kindle Edition,272,2017,2017,,2023/12/28,to-read,to-read (#4388),to-read,,,,0,0
139923147,The Other Side of Disappearing,Kate Clayborn,"Clayborn, Kate",,"=""1496737318""","=""9781496737311""",0,3.71,Kensington,Paperback,373,2024,2024,,2023/12/27,to-read,to-read (#4387),to-read,,,,0,0
90202302,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374178""","=""9781649374172""",3,4.36,Entangled: Red Tower Books,Hardcover,640,2023,2023,2023/12/26,2023/07/21,,,read,,,,1,0
38212134,How the Internet Happened: From Netscape to the iPhone,Brian  McCullough,"McCullough, Brian",,"=""1631493078""","=""9781631493072""",0,4.28,Liveright,Hardcover,386,2018,2018,,2023/12/26,to-read,to-read (#4386),to-read,,,,0,0
52914599,History Has Begun,Bruno Maçães,"Maçães, Bruno",,"=""1787383016""","=""9781787383012""",0,3.70,Hurst Publishers,Hardcover,208,2020,,,2023/12/26,to-read,to-read (#4385),to-read,,,,0,0
35749414,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David  Reich,"Reich, David",,"=""110187032X""","=""9781101870327""",0,4.14,Pantheon,Hardcover,335,2018,2018,,2023/12/26,to-read,to-read (#4384),to-read,,,,0,0
36373594,Merchants of Truth: The Business of Facts and The Future of News,Jill Abramson,"Abramson, Jill",,"=""1501123203""","=""9781501123207""",0,3.74,Simon & Schuster,Hardcover,544,2019,2019,,2023/12/26,to-read,to-read (#4383),to-read,,,,0,0
57844169,"The Gray Lady Winked: How the New York Times's Misreporting, Distortions and Fabrications Radically Alter History",Ashley Rindsberg,"Rindsberg, Ashley",,"=""1736703307""","=""9781736703304""",0,3.90,Midnight Oil Publishers,Hardcover,283,2021,2021,,2023/12/26,to-read,to-read (#4382),to-read,,,,0,0
48714754,How Innovation Works: And Why It Flourishes in Freedom,Matt Ridley,"Ridley, Matt",,"=""""","=""""",0,4.11,Harper,Kindle Edition,416,2020,2020,,2023/12/26,to-read,to-read (#4381),to-read,,,,0,0
42036377,Where Is My Flying Car?: A Memoir of Future Past,J. Storrs Hall,"Hall, J. Storrs",,"=""""","=""""",0,4.07,,Kindle Edition,609,2018,,,2023/12/26,to-read,to-read (#4380),to-read,,,,0,0
